EDUCATION_C3,AGE_C7,Male,Female
1,1,3040,2203
1,2,3874,2877
1,3,5854,4832
1,3,8214,7303
1,4,8955,8889
1,4,8417,9438
1,5,10892,13625
1,5,13483,17232
1,6,16697,21127
1,6,16419,21248
1,7,16764,22246
1,7,13282,18022
1,7,15317,25256
1,1,3634,3299
1,2,4554,4494
1,3,5907,6073
1,3,7337,8064
1,4,7317,8155
1,4,6126,7172
1,5,6244,7441
1,5,5632,6651
1,6,5091,6365
1,6,4320,5493
1,7,3660,5015
1,7,2418,3302
1,7,2367,4247
1,1,4229,3089
1,2,3639,2614
1,3,3338,2529
1,3,2416,1925
1,4,1654,1182
1,4,776,680
1,5,555,498
1,5,356,439
1,6,343,387
1,6,279,354
1,7,222,298
1,7,138,230
1,7,178,294
1,1,101071,88137
1,2,122422,113059
1,3,145509,144878
1,3,177794,189885
1,4,174392,188908
1,4,142770,159407
1,5,137375,154260
1,5,118410,134816
1,6,103071,123185
1,6,85101,105003
1,7,72298,95289
1,7,43676,61042
1,7,41447,75978
2,1,214412,215776
2,2,191282,204727
2,3,191844,205940
2,3,198111,214886
2,4,173809,199893
2,4,124448,138517
2,5,67360,70275
2,5,35549,36485
2,6,22178,23566
2,6,14035,15304
2,7,9846,11816
2,7,5034,6692
2,7,4884,8560
2,4,16086,21007
2,5,38638,52478
2,5,45895,57871
2,6,39755,51921
2,6,32083,42053
2,7,27454,39597
2,7,16339,25596
2,7,14820,32258
2,1,29302,57311
2,2,21820,46918
2,3,20949,45514
2,3,17026,36883
2,4,16077,33091
2,4,14023,22408
2,5,10389,13119
2,5,7665,8788
2,6,5120,5503
2,6,3324,3640
2,7,2562,3155
2,7,1303,1577
2,7,1165,1471
2,1,56173,9165
2,2,49276,6986
2,3,52479,6274
2,3,49337,4790
2,4,44976,4192
2,4,28004,2524
2,5,16832,1213
2,5,11639,685
2,6,7992,466
2,6,5382,287
2,7,3603,202
2,7,1389,109
2,7,956,146
2,1,6111,2158
2,2,4135,1214
2,3,2990,805
2,3,2541,651
2,4,2260,560
2,4,2273,518
2,5,2020,438
2,5,1437,181
2,6,892,66
2,6,508,30
2,7,414,28
2,7,266,23
2,7,235,25
2,1,1293,458
2,2,948,240
2,3,627,114
2,3,536,89
2,4,737,83
2,4,644,50
2,5,414,25
2,5,226,26
2,6,242,22
2,6,266,9
2,7,210,13
2,7,142,11
2,7,185,14
3,4,1494,1865
3,5,1510,2355
3,5,1910,3347
3,6,1847,3676
3,6,1686,3488
3,7,1256,2714
3,7,702,1784
3,7,592,2220
3,1,0,21703
3,2,0,20935
3,3,0,22380
3,3,0,21401
3,4,0,16160
3,4,0,8610
3,5,0,9020
3,5,0,7139
3,6,0,5205
3,6,0,3773
3,7,0,2970
3,7,0,1726
3,7,0,1902
3,1,19448,23464
3,2,26560,35153
3,3,28422,37807
3,3,24966,31312
3,4,18436,21283
3,4,9933,10280
3,5,6994,6852
3,5,5161,4400
3,6,3705,2692
3,6,2453,1603
3,7,1767,1158
3,7,950,651
3,7,894,847
3,1,47375,48565
3,2,52459,58168
3,3,46821,55384
3,3,36316,46354
3,4,26334,34662
3,4,11946,16763
3,5,7705,9209
3,5,5550,5205
3,6,3761,3074
3,6,2434,1932
3,7,1864,1580
3,7,1140,940
3,7,1060,1215
3,1,119342,120668
3,2,112570,101800
3,3,89744,73177
3,3,81363,65500
3,4,77981,61772
3,4,74816,63671
3,5,62472,48795
3,5,39489,28307
3,6,24803,17150
3,6,15918,10862
3,7,11988,8129
3,7,6710,4137
3,7,6847,5460
