REGION,SEX_C2,AGE_C7,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X99
15,Male,1,115.00,20.00,23.00,16.00,59.00,26.00,50.00,42.00,309.00,207.00,431.00,325.00,4239.00,668.00,1204.00,783.00,494.00,345.00,2.00,370.00
15,Male,2,137.00,17.00,19.00,18.00,47.00,25.00,51.00,24.00,276.00,152.00,363.00,323.00,4239.00,305.00,841.00,625.00,648.00,1211.00,44.00,316.00
15,Male,3,193.00,36.00,54.00,47.00,111.00,93.00,102.00,77.00,613.00,269.00,671.00,515.00,7037.00,307.00,1176.00,932.00,862.00,2264.00,263.00,463.00
15,Male,4,187.00,39.00,73.00,60.00,121.00,142.00,157.00,103.00,871.00,398.00,869.00,684.00,6142.00,174.00,806.00,753.00,564.00,1366.00,270.00,408.00
15,Male,5,156.00,53.00,68.00,126.00,211.00,170.00,288.00,192.00,1178.00,519.00,887.00,608.00,4596.00,112.00,507.00,484.00,391.00,908.00,219.00,349.00
15,Male,6,181.00,66.00,123.00,235.00,348.00,187.00,719.00,228.00,937.00,345.00,886.00,369.00,2346.00,90.00,313.00,291.00,259.00,599.00,151.00,358.00
15,Male,7,393.00,143.00,233.00,410.00,480.00,256.00,1220.00,167.00,608.00,248.00,509.00,200.00,1016.00,43.00,134.00,152.00,133.00,348.00,63.00,342.00
15,Female,1,107.00,10.00,9.00,10.00,38.00,31.00,34.00,43.00,181.00,124.00,288.00,252.00,3272.00,667.00,1394.00,991.00,567.00,408.00,7.00,307.00
15,Female,2,102.00,9.00,16.00,21.00,37.00,34.00,35.00,36.00,212.00,147.00,284.00,240.00,3309.00,305.00,733.00,820.00,622.00,1628.00,66.00,251.00
15,Female,3,167.00,34.00,59.00,84.00,138.00,125.00,136.00,86.00,592.00,266.00,534.00,473.00,6541.00,314.00,1052.00,1119.00,937.00,2858.00,315.00,412.00
15,Female,4,197.00,53.00,67.00,100.00,164.00,146.00,205.00,136.00,909.00,400.00,781.00,702.00,6704.00,210.00,905.00,857.00,520.00,1414.00,240.00,324.00
15,Female,5,233.00,100.00,138.00,210.00,274.00,236.00,369.00,255.00,1416.00,570.00,852.00,662.00,5225.00,138.00,550.00,467.00,395.00,872.00,143.00,396.00
15,Female,6,366.00,160.00,234.00,337.00,401.00,257.00,1003.00,269.00,1056.00,420.00,825.00,423.00,1870.00,93.00,253.00,253.00,341.00,631.00,109.00,323.00
15,Female,7,806.00,262.00,429.00,639.00,623.00,367.00,1566.00,198.00,811.00,297.00,619.00,227.00,1157.00,30.00,134.00,121.00,128.00,325.00,38.00,443.00
1,Male,1,159.00,35.00,39.00,37.00,102.00,67.00,153.00,148.00,613.00,397.00,769.00,553.00,5974.00,838.00,1483.00,1011.00,632.00,366.00,4.00,537.00
1,Male,2,159.00,42.00,57.00,42.00,102.00,79.00,119.00,107.00,625.00,330.00,707.00,560.00,6584.00,526.00,1156.00,1014.00,1072.00,1912.00,83.00,444.00
1,Male,3,268.00,85.00,108.00,107.00,235.00,180.00,264.00,180.00,1224.00,579.00,1176.00,983.00,11349.00,521.00,1787.00,1769.00,1726.00,3771.00,496.00,684.00
1,Male,4,243.00,91.00,135.00,128.00,225.00,208.00,282.00,230.00,1594.00,634.00,1224.00,987.00,8819.00,283.00,1302.00,1211.00,1033.00,2279.00,494.00,567.00
1,Male,5,249.00,119.00,169.00,195.00,345.00,268.00,478.00,344.00,1995.00,770.00,1257.00,852.00,6462.00,158.00,797.00,783.00,640.00,1406.00,305.00,534.00
1,Male,6,200.00,119.00,149.00,259.00,298.00,270.00,1002.00,322.00,1308.00,486.00,1221.00,500.00,2727.00,106.00,363.00,419.00,398.00,853.00,166.00,413.00
1,Male,7,298.00,76.00,193.00,308.00,342.00,221.00,1202.00,169.00,570.00,262.00,566.00,195.00,1129.00,46.00,153.00,161.00,176.00,425.00,46.00,316.00
1,Female,1,122.00,36.00,40.00,36.00,87.00,67.00,107.00,92.00,472.00,306.00,530.00,475.00,5361.00,815.00,1500.00,1225.00,814.00,571.00,7.00,458.00
1,Female,2,118.00,25.00,47.00,32.00,102.00,84.00,107.00,111.00,500.00,295.00,568.00,463.00,5858.00,404.00,959.00,1068.00,1030.00,2494.00,100.00,445.00
1,Female,3,280.00,79.00,129.00,139.00,270.00,253.00,304.00,249.00,1279.00,540.00,1097.00,906.00,10151.00,529.00,1258.00,1693.00,1627.00,4146.00,496.00,613.00
1,Female,4,243.00,121.00,166.00,198.00,298.00,318.00,366.00,306.00,1667.00,592.00,1170.00,955.00,8569.00,265.00,1021.00,1108.00,842.00,2044.00,333.00,471.00
1,Female,5,294.00,131.00,220.00,294.00,384.00,377.00,583.00,403.00,2021.00,804.00,1187.00,920.00,6533.00,178.00,676.00,675.00,478.00,1031.00,195.00,469.00
1,Female,6,256.00,131.00,250.00,325.00,400.00,328.00,1215.00,351.00,1273.00,512.00,1047.00,595.00,2454.00,126.00,311.00,304.00,433.00,787.00,98.00,383.00
1,Female,7,560.00,156.00,330.00,450.00,530.00,348.00,1740.00,202.00,743.00,310.00,658.00,290.00,1228.00,36.00,119.00,136.00,174.00,340.00,43.00,376.00
2,Male,1,289.00,39.00,66.00,63.00,212.00,102.00,200.00,168.00,1110.00,637.00,1272.00,751.00,11023.00,1708.00,3407.00,2097.00,1373.00,838.00,16.00,1273.00
2,Male,2,350.00,53.00,59.00,54.00,204.00,111.00,203.00,146.00,1058.00,567.00,1134.00,759.00,12870.00,989.00,2699.00,1971.00,2233.00,3930.00,217.00,1134.00
2,Male,3,579.00,75.00,122.00,143.00,422.00,272.00,397.00,261.00,1995.00,953.00,2123.00,1246.00,22310.00,1115.00,3965.00,3173.00,3788.00,8161.00,1155.00,1731.00
2,Male,4,500.00,110.00,142.00,178.00,431.00,332.00,482.00,371.00,2872.00,1110.00,2362.00,1553.00,19238.00,613.00,3187.00,2543.00,2618.00,5621.00,1169.00,1389.00
